Folder Path,Purpose,Document Count,Access Level,Retention/Review Rule
Contracts/Active,Current client and service agreements,1,Internal,Review active contracts monthly
Suppliers/Registers,Current supplier reference records,1,Internal,Review monthly
Reports/2026/September,Monthly operational reporting,1,Internal,Retain according to reporting cycle
HR/Leave,Employee leave records,1,Restricted,Review monthly
Templates/Client Onboarding,Reusable onboarding documents,1,Internal,Review quarterly
Finance/2026/Q3,Current quarter finance working files,1,Restricted,Review at quarter close
Meetings/Operations/2026,Historical operations meeting records,1,Internal,Archive after review
Templates/Procurement,Reusable procurement checklists,1,Internal,Review quarterly
Procedures/Data Entry,Current administrative procedures,1,Internal,Review quarterly
HR/Emergency Contacts,Current emergency contact records,1,Restricted,Review monthly
